Algorithm,Total Qubits,System Qubits,Ancilla Qubits,Circuit Depth,Total Gates,1-Qubit Gates,2-Qubit Gates,CNOT Count,T Count,Query Complexity,Estimated Error,Construction Time (s)
Trotter (order 1),3,3,0,10,10,0,0,0,0,10,3.6,0.0004684925079345703
Trotter (order 2),3,3,0,10,10,0,0,0,0,10,2.16,0.000339508056640625
Taylor-LCU,7,3,4,1650,2318,1658,660,660,0,10,9.088831168831168,0.013159513473510742
QSP,4,3,1,301,433,253,180,120,0,10,0.10507615840949175,0.002532958984375
Qubitization,6,3,3,36,126,120,0,0,0,6,6.0,0.0006325244903564453
QSVT,7,3,4,601,984,623,360,240,0,21,2.309642339725524,0.0036537647247314453
